source_ip,destination_ip,protocol,packet_size,duration,bandwidth,label
192.168.1.10,8.8.8.8,UDP,256,0.1,128,0
192.168.1.11,1.1.1.1,TCP,512,0.5,256,0
192.168.1.12,208.67.222.222,TCP,1024,1.0,512,0
192.168.1.13,8.8.4.4,UDP,512,0.3,256,0
192.168.1.14,1.0.0.1,TCP,2048,2.0,1024,0
192.168.1.15,8.8.8.8,TCP,768,0.7,384,0
192.168.1.16,208.67.222.222,UDP,384,0.2,192,0
192.168.1.17,1.1.1.1,TCP,1536,1.5,768,0
192.168.1.18,8.8.4.4,TCP,640,0.6,320,0
192.168.1.19,1.0.0.1,UDP,512,0.4,256,0
192.168.1.20,8.8.8.8,TCP,2560,2.5,1280,0
192.168.1.21,208.67.222.222,TCP,896,0.8,448,0
192.168.1.22,1.1.1.1,UDP,448,0.3,224,0
192.168.1.23,8.8.4.4,TCP,1280,1.2,640,0
192.168.1.24,1.0.0.1,TCP,3072,3.0,1536,0
10.0.0.50,185.220.101.1,TCP,65535,10.0,32768,1
10.0.0.51,199.195.248.80,TCP,50000,8.0,25000,1
10.0.0.52,45.33.32.156,TCP,45000,12.0,30000,1
10.0.0.53,104.21.23.45,TCP,60000,15.0,35000,1
10.0.0.54,141.98.252.180,TCP,55000,9.0,28000,1
10.0.0.55,176.32.98.166,TCP,58000,11.0,32000,1
10.0.0.56,92.51.171.21,TCP,52000,7.5,26000,1
10.0.0.57,198.41.0.4,TCP,63000,14.0,33000,1
10.0.0.58,192.5.6.30,TCP,48000,10.5,29000,1
10.0.0.59,199.7.91.13,TCP,61000,13.0,34000,1
